"time","Sg","Lg","Lq","Iag","Iaq","Ismg","Ismq","Issq","R","D","Hg","AGG_TOTAL_PEOPLE","AGG_L_rowSums","AGG_I_rowSums","AGG_S_rowSums","AGG_R_rowSums","AGG_D_rowSums","AGG_H_rowSums","trans_rate","frac_contact_trace","Cgg","Cgq","t_latency","f_symp","t_Ia_R","f_mild","f_mild_iso","t_presymp","t_diag","t_mild_symptomatic","f_severe_death","t_severe_recovery","t_severe_Death","t_severe_Hosp","Hg_cap","f_Hg_saved","t_Hg","max_time_steps","CHANGE_Sg_in","CHANGE_D_in","CHANGE_Lg_in","CHANGE_Lq_in","CHANGE_Iag_in","CHANGE_Iaq_in","CHANGE_Ismg_in","CHANGE_Ismq_in","CHANGE_Issq_in","CHANGE_Hg_in","CHANGE_R_in"
1,1e+06,100,0,0,0,0,0,0,0,0,0,1000100,100,0,1e+06,0,0,0,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0,0,0,27.027027027027,0,0,0,0,0,0
2,999952.522230562,80.6562155275276,39.0500562508248,23.2781386500158,3.61775708853288,0.102862997854503,0.582890321175519,0.0826147783379137,0.0778597353734397,0.000354605362862629,0.0290194828995318,1000100,119.706271778352,27.6642638359167,999952.522230562,0.0778597353734397,0.000354605362862629,0.0290194828995318,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.00104983721740279,9.10428871568046,81.9385984411242,21.798977169602,10.5540692569797,0.21626989763367,1.22552941992413,0.234711516811735,0.0826147783379137,0.179290050737706
3,999822.861021427,73.0656353399692,133.400713287804,41.6523872942159,25.1378807253636,0.445533304383746,2.52468872484123,0.287601715496432,0.425762206126935,0.00285317402132387,0.195922800889029,1000100,206.466348627773,70.0480917643009,999822.861021427,0.425762206126935,0.00285317402132387,0.195922800889029,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.00440785236557994,16.7031978257801,150.328780432021,19.7474690108025,36.0542468345417,0.537060545145439,3.04334308915749,0.582856405584197,0.287601715496432,0.561316366034766
4,999618.972503398,73.7738943908354,263.917283600164,58.0060889932421,74.9619975840164,1.16650257622162,6.61018126525584,0.648197824782359,1.3152239433937,0.0103524608255013,0.617773963365135,1000100,337.691177991,141.392968243518,999618.972503398,1.3152239433937,0.0103524608255013,0.617773963365135,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.0113327765951067,24.1367601609827,217.230841448844,19.9388903759015,71.328995567612,1.06919638416774,6.05877951028384,1.16036816886421,0.648197824782359,1.28827471560968
5,999337.346645825,81.1426937329191,424.978506742924,74.3916338630819,159.750676869601,2.47552904323897,14.0279979116875,1.23031579699845,3.17234582641863,0.0273495182936439,1.45630487008261,1000100,506.121200475843,251.876153484608,999337.346645825,3.17234582641863,0.0273495182936439,1.45630487008261,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.0237619681552002,32.3995259757757,291.595733781981,21.9304577656538,114.859055876466,1.88273832060151,10.6688504834085,2.04328189832721,1.23031579699845,2.52606652144703
6,998965.38119174,94.7156445305867,619.439643631914,92.4669596860086,285.463226939558,4.62756749117267,26.2228824499785,2.09823927729447,6.60023554214862,0.0604817192034421,2.92392699219525,1000100,714.1552881625,410.878875844012,998965.38119174,6.60023554214862,0.0604817192034421,2.92392699219525,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.0440188182408227,42.3424090783672,381.081681705305,25.5988228461045,167.416119900517,3.03893663065618,17.2206409070517,3.29807076195244,2.09823927729447,4.4634879539879
7,998482.095788747,114.878446557927,856.085816113019,113.780156376392,459.24109090764,7.91990934741224,44.8794863020027,3.31705425224602,12.4051674633893,0.118887730192438,5.2781962023099,1000100,970.964262670946,629.137697185693,998482.095788747,12.4051674633893,0.118887730192438,5.2781962023099,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.0747929432438119,54.8092578456175,493.283320610558,31.0482287994397,231.37454489541,4.6076638494109,26.1100951466618,5.00056541796532,3.31705425224602,7.31987081663799
8,997857.672331855,142.701822310194,1148.60877090105,139.972738154672,690.720289290059,12.7034090520098,71.9859846280557,4.96277457438034,21.633384810406,0.214623515660959,8.82387090842102,1000100,1291.31059321125,920.345195699177,997857.672331855,21.633384810406,0.214623515660959,8.82387090842102,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.119256963307082,70.7392063857968,636.652857472171,38.5680600838361,310.43480294623,6.67960263368308,37.8510815908708,7.24918115283435,4.96277457438034,11.3584959553161
9,997052.056323038,179.903442491023,1515.56254591081,172.945703335834,993.131027830428,19.4033951035395,109.952572253391,7.13295835650015,35.6238017128594,0.363240149478714,13.9249898178838,1000100,1695.46598840183,1302.56565687969,997052.056323038,35.6238017128594,0.363240149478714,13.9249898178838,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.181267666091208,91.2546033401229,821.291430061107,48.6225520246007,409.611498894812,9.37642299530791,53.1330636400782,10.1759629406442,7.13295835650015,16.9048447448011
10,996012.69619776,228.89459273443,1981.01066524979,215.016407107714,1384.40898731299,28.5486279050941,161.775558128866,9.95697503104724,56.0813595295033,0.584597242497508,21.026031997737,1000100,2209.90525798422,1799.70655548571,996012.69619776,56.0813595295033,0.584597242497508,21.026031997737,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.26563578224203,117.74711356205,1059.72402205845,61.8634034417378,535.408287905348,12.8609795965369,72.8788843803757,13.9576522753114,9.95697503104724,24.3697830386006
